Interval Start,Interval End,Load
2026-05-08 10:20:00-05:00,2026-05-08 10:25:00-05:00,33157
2026-05-08 10:25:00-05:00,2026-05-08 10:30:00-05:00,33247
2026-05-08 10:30:00-05:00,2026-05-08 10:35:00-05:00,33257
2026-05-08 10:35:00-05:00,2026-05-08 10:40:00-05:00,33257
2026-05-08 10:40:00-05:00,2026-05-08 10:45:00-05:00,33360
2026-05-08 10:45:00-05:00,2026-05-08 10:50:00-05:00,33358
2026-05-08 10:50:00-05:00,2026-05-08 10:55:00-05:00,33415
2026-05-08 10:55:00-05:00,2026-05-08 11:00:00-05:00,33443
2026-05-08 11:00:00-05:00,2026-05-08 11:05:00-05:00,33451
2026-05-08 11:05:00-05:00,2026-05-08 11:10:00-05:00,33507
2026-05-08 11:10:00-05:00,2026-05-08 11:15:00-05:00,33549
2026-05-08 11:15:00-05:00,2026-05-08 11:20:00-05:00,33596
2026-05-08 11:20:00-05:00,2026-05-08 11:25:00-05:00,33655
2026-05-08 11:25:00-05:00,2026-05-08 11:30:00-05:00,33662
2026-05-08 11:30:00-05:00,2026-05-08 11:35:00-05:00,33697
2026-05-08 11:35:00-05:00,2026-05-08 11:40:00-05:00,33683
2026-05-08 11:40:00-05:00,2026-05-08 11:45:00-05:00,33720
2026-05-08 11:45:00-05:00,2026-05-08 11:50:00-05:00,33763
2026-05-08 11:50:00-05:00,2026-05-08 11:55:00-05:00,33807
2026-05-08 11:55:00-05:00,2026-05-08 12:00:00-05:00,33823
2026-05-08 12:00:00-05:00,2026-05-08 12:05:00-05:00,33778
2026-05-08 12:05:00-05:00,2026-05-08 12:10:00-05:00,33819
2026-05-08 12:10:00-05:00,2026-05-08 12:15:00-05:00,33864
2026-05-08 12:15:00-05:00,2026-05-08 12:20:00-05:00,33897
2026-05-08 12:20:00-05:00,2026-05-08 12:25:00-05:00,33918
2026-05-08 12:25:00-05:00,2026-05-08 12:30:00-05:00,33955
2026-05-08 12:30:00-05:00,2026-05-08 12:35:00-05:00,34030
2026-05-08 12:35:00-05:00,2026-05-08 12:40:00-05:00,34099
2026-05-08 12:40:00-05:00,2026-05-08 12:45:00-05:00,34139
2026-05-08 12:45:00-05:00,2026-05-08 12:50:00-05:00,34226
2026-05-08 12:50:00-05:00,2026-05-08 12:55:00-05:00,34292
2026-05-08 12:55:00-05:00,2026-05-08 13:00:00-05:00,34269
2026-05-08 13:00:00-05:00,2026-05-08 13:05:00-05:00,34343
2026-05-08 13:05:00-05:00,2026-05-08 13:10:00-05:00,34433
2026-05-08 13:10:00-05:00,2026-05-08 13:15:00-05:00,34494
2026-05-08 13:15:00-05:00,2026-05-08 13:20:00-05:00,34567
2026-05-08 13:20:00-05:00,2026-05-08 13:25:00-05:00,34580
2026-05-08 13:25:00-05:00,2026-05-08 13:30:00-05:00,34654
2026-05-08 13:30:00-05:00,2026-05-08 13:35:00-05:00,34667
2026-05-08 13:35:00-05:00,2026-05-08 13:40:00-05:00,34665
2026-05-08 13:40:00-05:00,2026-05-08 13:45:00-05:00,34688
2026-05-08 13:45:00-05:00,2026-05-08 13:50:00-05:00,34837
2026-05-08 13:50:00-05:00,2026-05-08 13:55:00-05:00,34908
2026-05-08 13:55:00-05:00,2026-05-08 14:00:00-05:00,34920
2026-05-08 14:00:00-05:00,2026-05-08 14:05:00-05:00,34959
2026-05-08 14:05:00-05:00,2026-05-08 14:10:00-05:00,35052
2026-05-08 14:10:00-05:00,2026-05-08 14:15:00-05:00,35109
2026-05-08 14:15:00-05:00,2026-05-08 14:20:00-05:00,35214
2026-05-08 14:20:00-05:00,2026-05-08 14:25:00-05:00,35239
2026-05-08 14:25:00-05:00,2026-05-08 14:30:00-05:00,35300
2026-05-08 14:30:00-05:00,2026-05-08 14:35:00-05:00,35370
2026-05-08 14:35:00-05:00,2026-05-08 14:40:00-05:00,35439
2026-05-08 14:40:00-05:00,2026-05-08 14:45:00-05:00,35461
2026-05-08 14:45:00-05:00,2026-05-08 14:50:00-05:00,35489
2026-05-08 14:50:00-05:00,2026-05-08 14:55:00-05:00,35535
